compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
O7 Ti4,2,<i>P</i>-1,trivial,LCEBR,None,[],"[10148, 10149, 10150, 19016, 19017, 19018, 48130, 48131]"
O9 Te4,148,<i>R</i>-3,trivial,LCEBR,None,[],[1885]
Os1 P2,58,<i>Pnnm</i>,trivial,LCEBR,None,[],"[993, 42609, 42740, 238252, 647706, 647711]"
Os1 P4,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[647708]
Os1 P4,2,<i>P</i>-1,trivial,LCEBR,None,[],[647710]
Os1 S2,205,<i>Pa</i>-3,trivial,LCEBR,None,[],"[24187, 56020, 300224, 647749, 647750]"
Os1 V1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[150935]
Os1 W2,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,SM,ES,Line,[],[647867]
Os2 U1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 3}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 3}]",[659012]
Os2 U1,227,<i>Fd</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[105575, 647848, 657117]"
Os2 Y1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[150518, 647871]"
P1 Pd3,62,<i>Pnma</i>,SM,ES,Plane,[],"[85525, 647921]"
P1 Pd6,14,<i>P</i>2<sub>1</sub>/<i>c</i>,trivial,LCEBR,None,[],[26898]
P1 Pr1,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 1}]","[52007, 77773, 196598, 647947, 647950, 647953]"
P1 Pu1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[77781, 647978]"
P1 Re2,62,<i>Pnma</i>,SM,ES,Plane,[],"[43564, 48123, 186200, 186202]"
P1 Rh2,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[38356, 603875, 647991]"
P1 Ru1,62,<i>Pnma</i>,SM,ES,Plane,[],"[109139, 648015]"
P1 Ru2,62,<i>Pnma</i>,SM,ES,Plane,[],"[43686, 648021]"
P1 Sc1,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],[77798]
P1 Sc3,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}]",[648101]
P1 Si1,36,<i>Cmc</i>2<sub>1</sub>,trivial,LCEBR,None,[],"[23724, 87149]"
P1 Sn1,107,<i>I</i>4<i>mm</i>,SM,ESFD,Point,[],[16077]
P1 Sn1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],"[77786, 77805]"
P1 Sr1,189,<i>P</i>-62<i>m</i>,trivial,LCEBR,None,[],[26262]
P1 Ta1,109,<i>I</i>4<sub>1</sub><i>md</i>,trivial,LCEBR,None,[],"[196965, 648185]"
